generation,baseNumberPoints,numberValueCoefficient,mostHeldColorPoints,colorRatioCoefficient,significantLeadRatio,playColorDislikedByHighestPlayerPoints,reversePoints,skipPoints,drawTwoPoints,wildDrawFourPoints,heldColorCoefficient,calledColorPoints,fitness,points,rate
1,8.382258719620385,-0.1084584211788216,6.06890741342275,14.961300027459172,5.624219113387445,11.128622666619554,12.447697451813458,7.344809492746036,7.3080301330158175,7.938476813805744,10.04989144729396,1.129087158637253,60704.52479999999,242624,0.2502
2,5.828646819565243,-0.11027273167126825,6.069257523938629,14.913038359527427,7.354862082407528,10.37944158781343,15.774117273833351,8.752801367264222,7.324421462032051,1.0282656736829445,11.788431337567758,1.1264507093515796,70181.0125,258875,0.2711
3,7.285638922661537,-0.10126478136228124,6.1916498056505205,14.59624609043765,4.674910815847639,6.966857188910663,12.342162273456658,14.210448919215237,7.751231178680369,6.995782787076761,10.048799281191055,1.467586665560712,67087.5333,253831,0.2643
4,5.848952408127117,-0.22096852890212082,6.068058627217075,14.914374910620223,5.832350930376601,7.411323824722467,12.336588883901976,8.694956114530779,7.75170906536301,0.7966421798446494,10.052294829921394,1.3762059827522288,65833.264,251272,0.262
5,5.350101827296515,-0.23033910723889375,6.196299827925054,14.322450204670218,7.385511608171189,10.249560633609645,16.208337614865684,7.300383264468597,7.75204461183272,0.9227313604177584,8.520915130627342,2.498665509293742,65226.195,247350,0.2637
6,5.382733310526362,-0.39787555323462354,6.191843741143367,15.326831792211664,7.386645399303442,10.552061502661216,13.878795064980794,13.728376379586392,6.02538852812697,6.787370312125022,10.722959045721423,1.868402186386443,66690.2574,252902,0.2637
7,5.878488178800379,-0.7219161782499812,7.367980923055753,14.89510947176642,5.827505421142703,6.968203833021686,10.55585282276617,8.7920427485409,7.683025238189907,0.3892580678826712,10.217739181703097,1.3815054295937728,67232.1054,254378,0.2643
8,5.436544877622101,-0.3953001373140067,4.629844393434957,15.330917838413892,5.823325001240855,9.351510102106204,15.135081560544185,13.780232810697804,6.8912489096361975,0.05711332746950992,10.57307447015959,2.077072294515226,67390.22780000001,253442,0.2659
9,5.897918626862919,-0.39667972887957587,6.676905293595114,15.33065367641836,5.930625829526319,9.369543299369681,17.628143214575108,13.327411582078833,7.515014199858018,6.960848844501765,11.989420221196612,1.8214196129393825,64705.2186,248198,0.2607
10,5.707457867260765,-0.13262144873393522,4.423985461011747,15.266102031856748,6.150207343449859,8.398675539697278,15.133187660853924,13.778861271851621,6.671647784288392,0.19014721389928388,10.960258469186574,2.0255846644263733,66344.895,254195,0.261
11,5.794789487087417,-0.28217558226793277,4.6299157850684844,15.495104949926834,4.11815722171924,9.153625017271644,13.228216433167315,13.197363544544597,7.621537574558508,0.21891759603948627,10.572867559729378,3.370935773704908,66842.4573,251193,0.2661
12,5.68087847337756,-0.29261245749875775,10.13730489307311,15.183232688077316,6.410171964139783,9.75480042426307,15.133733794484122,13.143114420487835,6.755448018488613,0.20725562141858053,11.748952408096685,3.3240473676225797,66953.721,250763,0.267
13,5.6834303876873,-0.26004617765135907,10.048479438986462,15.144414286953719,6.399475138254583,9.755189629141407,15.637313455959339,15.133192736254893,6.7849723163296005,0.2040101835533319,11.777065418947426,3.3233908220308925,67331.9957,253223,0.2659
14,5.6708160715174625,-0.3076183855972596,10.054940633276262,16.177877215389113,6.259150107948573,8.03904818051793,15.62823317514635,13.844800498776905,6.771032881735845,0.22093104015915202,11.747566739598383,3.15047339178588,69399.5952,257608,0.2694
15,5.967916145623709,-1.0827043503705194,9.362042410013412,15.791702258867467,6.255186762034624,8.034073242286192,15.628897366081187,14.587599931180488,6.682220301107315,0.43672111425258364,11.037886670915457,2.6125567980157,66294.1972,248479,0.2668
16,5.969958543375454,-1.0857711220452908,8.942888275940719,15.79649655053936,7.598801767331652,8.03613535744606,15.991559398108391,15.08330379896776,6.6813620541071135,0.4363464322969846,11.047819463211228,2.613632214684384,66810.50200000001,252020,0.2651
17,4.181805828725237,-0.8531067557548883,5.340588336915127,14.846409790972235,7.037550425437646,8.475904697025715,9.920693129591879,14.54673152901338,8.055959485294549,1.8909262846979356,8.589260610207667,2.376872984944334,67725.6096,254991,0.2656
18,6.908736365867998,-1.1459404207497128,9.348953020181293,15.675023651717947,7.037231067444924,8.648676174275092,14.562090318838447,13.477228136692496,6.60950859627902,2.2200681305322063,11.009799574480507,4.524686120126299,68540.1875,256225,0.2675
